Dataset,Best Makespan,Execution Time (s)
data_20j_15m_1,2394,33.6980
data_20j_15m_1,2386,16.5868
data_20j_15m_1,2371,40.9057
data_20j_15m_1,2524,4.9079
data_20j_15m_1,2463,5.0086
data_20j_15m_1,2670,2.8367
data_20j_15m_1,2464,25.0978
data_20j_15m_1,2417,55.0480
data_20j_15m_1,2469,41.0246
data_20j_15m_1,2045,99.7103
data_20j_15m_1,1852,202.6919
data_20j_15m_1,1747,406.2992
data_20j_15m_1,2456,32.9228
data_20j_15m_1,2402,31.5088
data_20j_15m_1,2407,64.3925
data_20j_15m_1,1898,891.3301
data_20j_15m_1,1834,883.2187
data_20j_15m_1,1914,1272.7137
data_20j_15m_1,2065,1465.5737
data_20j_15m_1,2087,772.1818
data_20j_15m_1,1936,750.2138
data_20j_15m_1,1994,722.0278
data_20j_15m_1,2000,672.9081
data_20j_15m_1,1936,733.4847
data_20j_15m_1,1968,757.2686
data_20j_15m_1,1828,813.0282
data_20j_15m_1,1780,10.4461
data_20j_15m_1,1801,18.2785
data_20j_15m_1,1794,28.2432
data_20j_15m_1,1823,18.2894
data_20j_15m_1,1823,23.8463
data_20j_15m_1,1751,21.1054
data_20j_15m_1,1751,21.3308
data_20j_15m_1,1751,12.1075
data_20j_15m_1,1764,10.7940
data_20j_15m_1,1760,19.1213
data_20j_15m_1,1801,55.0178
data_20j_15m_1,1801,58.3591
data_20j_15m_1,1741,26.2265
data_20j_15m_1,1741,26.9489
data_20j_15m_1,1828,28.7708
data_20j_15m_1,1791,23.7704
data_20j_15m_1,1741,30.4484
data_20j_15m_1,1741,36.1016
